Student ID,First Name,Last Name,Age,Gender,University,Degree Program,Year of Study,GPA,Part-time Job,Residential Status,Monthly Income,Preferred Accommodation,Distance to University,Transportation Method,Family Income,Scholarship Status,Boarding House Interest,Accommodation Budget,Special Needs
2024001,Kasun,Jayasekara,19,Male,University of Moratuwa,IT,3th Year,3.61,Yes,Boarding house,17326,On-campus,20 km,Train,164770,Yes,Yes,16826,Yes
2024002,Nethmi,Perera,20,Male,SLIIT,IT,3th Year,2.55,Yes,Off-campus,19764,On-campus,18 km,Bus,270238,No,Yes,18667,No
2024003,Harsha,Wijesinghe,25,Female,University of Moratuwa,IT,1th Year,2.1,No,On-campus,0,Private residence,15 km,Walk,51869,Yes,Yes,33576,Yes
2024004,Kasun,Perera,18,Female,University of Colombo,Medicine,2th Year,3.88,No,Boarding house,0,Boarding house,15 km,Train,190505,Yes,No,28219,No
2024005,Nethmi,Jayasekara,21,Female,University of Colombo,IT,1th Year,2.61,Yes,On-campus,20987,Private residence,4 km,Bus,151011,Yes,Yes,31256,No
2024006,Harsha,Silva,20,Female,SLIIT,Medicine,1th Year,2.25,No,Boarding house,0,Private residence,3 km,Train,170761,No,Yes,16481,Yes
2024007,Sachini,Jayasekara,20,Male,University of Moratuwa,Engineering,1th Year,2.18,Yes,Boarding house,5475,Private residence,3 km,Private vehicle,203527,No,No,26783,No
2024008,Nethmi,Wijesinghe,21,Male,University of Moratuwa,Engineering,1th Year,2.01,No,Off-campus,0,Boarding house,2 km,Bus,55743,Yes,No,37739,Yes
2024009,Dinuka,Wijesinghe,18,Female,University of Colombo,Medicine,3th Year,3.86,No,Off-campus,0,Boarding house,8 km,Bus,279658,No,Yes,38195,Yes
2024010,Ravindu,Silva,25,Male,SLIIT,Medicine,3th Year,2.76,No,Boarding house,0,Private residence,2 km,Private vehicle,273407,No,No,29135,Yes
2024011,Harsha,Silva,23,Female,University of Moratuwa,Engineering,4th Year,2.94,Yes,Boarding house,14515,Private residence,9 km,Private vehicle,151460,Yes,No,18135,Yes
2024012,Ravindu,Jayasekara,23,Male,NSBM Green University,Business,3th Year,2.51,No,Off-campus,0,On-campus,20 km,Bus,144844,Yes,No,15412,Yes
2024013,Kasun,Silva,23,Female,University of Moratuwa,IT,3th Year,2.41,No,Off-campus,0,Private residence,12 km,Walk,198856,Yes,No,33225,Yes
2024014,Ayesh,Wickramasinghe,22,Male,University of Colombo,Engineering,2th Year,2.48,Yes,Boarding house,10787,Boarding house,2 km,Private vehicle,151063,No,No,39933,Yes
2024015,Harsha,Wijesinghe,19,Male,NSBM Green University,Engineering,4th Year,2.52,No,On-campus,0,Boarding house,6 km,Private vehicle,127170,Yes,No,35346,Yes
2024016,Kasun,Perera,22,Female,SLIIT,Medicine,3th Year,3.13,Yes,Off-campus,15494,Private residence,11 km,Bus,222328,No,No,31043,Yes
2024017,Kasun,Perera,19,Female,NSBM Green University,Business,3th Year,3.56,Yes,Off-campus,1589,Private residence,14 km,Walk,158938,Yes,No,25258,No
2024018,Ravindu,Jayasekara,25,Male,University of Colombo,IT,4th Year,3.31,Yes,Boarding house,17948,Boarding house,4 km,Walk,293441,No,No,28159,Yes
2024019,Sachini,Wijesinghe,20,Male,University of Moratuwa,IT,2th Year,2.41,No,Off-campus,0,Boarding house,17 km,Bus,260108,Yes,Yes,20491,Yes
2024020,Nethmi,Wickramasinghe,21,Female,NSBM Green University,Medicine,2th Year,2.19,No,On-campus,0,On-campus,11 km,Train,105783,No,Yes,26602,No
2024021,Dinuka,Fernando,21,Male,NSBM Green University,Business,3th Year,2.09,Yes,Boarding house,3862,Boarding house,9 km,Walk,288905,Yes,No,39097,Yes
2024022,Tharushi,Wijesinghe,24,Female,University of Moratuwa,Medicine,4th Year,3.21,No,Off-campus,0,Private residence,20 km,Bus,96410,Yes,Yes,32530,No
2024023,Harsha,Silva,23,Female,SLIIT,Medicine,2th Year,3.04,No,On-campus,0,Private residence,14 km,Private vehicle,75196,Yes,Yes,24392,Yes
2024024,Ayesh,Wickramasinghe,25,Female,University of Moratuwa,Engineering,3th Year,2.17,Yes,On-campus,21069,On-campus,14 km,Train,182105,No,Yes,27614,No
2024025,Ayesh,Jayasekara,21,Male,University of Colombo,Medicine,3th Year,3.95,Yes,Off-campus,22988,Boarding house,13 km,Train,246397,No,Yes,17453,Yes
2024026,Ravindu,Wickramasinghe,18,Female,University of Moratuwa,IT,3th Year,2.11,Yes,Boarding house,12880,On-campus,16 km,Bus,73397,Yes,No,19367,No
2024027,Ravindu,Silva,21,Female,University of Colombo,IT,4th Year,2.91,Yes,On-campus,10095,On-campus,19 km,Private vehicle,181235,No,No,17596,No
2024028,Dinuka,Fernando,23,Female,University of Moratuwa,IT,1th Year,2.31,No,Off-campus,0,Boarding house,7 km,Private vehicle,79669,No,Yes,17141,Yes
2024029,Tharushi,Perera,19,Male,SLIIT,Medicine,2th Year,3.55,No,On-campus,0,Private residence,17 km,Bus,64575,No,Yes,31692,No
2024030,Kasun,Jayasekara,20,Male,University of Moratuwa,Business,2th Year,2.53,No,Off-campus,0,Private residence,20 km,Private vehicle,206319,Yes,No,39888,No
2024031,Ayesh,Wickramasinghe,20,Male,NSBM Green University,IT,4th Year,3.33,No,Off-campus,0,On-campus,5 km,Train,234057,Yes,Yes,22862,Yes
2024032,Ayesh,Fernando,24,Female,NSBM Green University,Engineering,1th Year,2.79,Yes,Boarding house,14753,Boarding house,5 km,Walk,141642,Yes,Yes,18018,Yes
2024033,Ravindu,Perera,18,Male,University of Moratuwa,Business,2th Year,3.08,No,On-campus,0,Private residence,3 km,Walk,98920,Yes,Yes,17282,No
2024034,Ravindu,Fernando,24,Male,NSBM Green University,Engineering,3th Year,3.75,Yes,Off-campus,9570,Boarding house,6 km,Bus,147810,Yes,No,23431,Yes
2024035,Dinuka,Fernando,20,Male,SLIIT,Engineering,2th Year,2.65,No,Off-campus,0,Private residence,5 km,Walk,251641,No,No,23331,No
2024036,Kasun,Fernando,25,Male,SLIIT,IT,4th Year,3.2,No,Off-campus,0,On-campus,13 km,Walk,261394,No,Yes,34771,Yes
2024037,Dinuka,Silva,19,Male,University of Moratuwa,Engineering,1th Year,2.07,Yes,Boarding house,18592,Private residence,3 km,Walk,286487,Yes,Yes,35882,Yes
2024038,Nethmi,Wickramasinghe,19,Female,NSBM Green University,Engineering,3th Year,2.11,No,Off-campus,0,On-campus,18 km,Bus,167556,No,No,15102,Yes
